,id,Адрес,Название отеля en,Общая оценка,Кол-во отзывов,Расположение,Номера,Цена/качество,Чистота,Обслуживание,Класс отеля,СТИЛЬ ОТЕЛЯ,"Языки, используемые в общении",Услуги и удобства в отеле,Оснащенность номера,Типы номеров,Название_отеля,Качество сна,adress_for_scrap,Широта,Долгота
393,393,"Balyoz Sok. No. 14 Asmalı Mescid Mah., Стамбул 34430 Турция",The Westist Hotel & Spa,"5,0",255 отзывов,"5,0 из 5 кружков","4,6 из 5 кружков","4,7 из 5 кружков","5,0 из 5 кружков","4,8 из 5 кружков","3,0 из 5 звезд","['Современно', 'Расположение в центре']","['Русский, Английский, Французский, Арабский и еще 1']","['Платная общественная парковка поблизости', 'Бесплатный WiFi', 'Раздевалки в фитнес- и спа-центрах', 'Бар/лаунж', 'Питомцы разрешены', 'Трансфер из/до аэропорта', 'Спа-комплекс', 'Круглосуточная охрана', 'Парковка', 'Wi-Fi', 'Сауна', 'Ресторан', 'Возможен завтрак', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Аренда автомобилей', 'Услуги такси', 'Массаж для двоих', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Массаж', 'Массаж шеи', 'Хранение багажа', 'Консьерж', 'Отель для некурящих', 'Аптечка', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Гипоаллергенный номер', 'Шторы, блокирующие свет', 'Кондиционер', 'Письменный стол', 'Уборка номеров', 'Мини-бар', 'Кабельное или спутниковое ТВ', 'Душевая кабина без поддона на полу', 'Звукоизоляция номеров', 'Купальные халаты', 'Имеются номера с сообщающимися комнатами', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Кафельный/мраморный пол', 'Услуга побудки/будильник', 'Холодильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Бесплатные туалетные принадлежности', 'Фен']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",394. The Westist Hotel & Spa,,"The Westist Hotel & Spa, Istanbul, Turkiye",41.031014,28.9747679
394,394,"Serdar-i Ekrem Sok. No: 24 Galata, Beyoglu, Стамбул 34425 Турция",Georges Hotel Galata,"4,5",682 отзыва,"4,8 из 5 кружков","4,6 из 5 кружков","4,3 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","4,0 из 5 звезд","['Скрытая жемчужина', 'С хорошим соотношением цены и качества']","['Английский, Французский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Бар/лаунж', 'Пешеходные экскурсии', 'Высокие детские стульчики', 'Трансфер из/до аэропорта', 'Массаж', 'Терраса на крыше', 'Охраняемая парковка', 'Wi-Fi', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак в номере', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Бесплатный приветственный напиток', 'Счастливый час', 'Обеденная зона на открытом воздухе', 'Вино/шампанское', 'Бар на крыше', 'Услуги такси', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Отель для некурящих', 'Уличная мебель', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Уборка номеров', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Душевая кабина без поддона на полу', 'Купальные халаты', 'Имеются номера с сообщающимися комнатами', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Телефон', 'VIP-номера', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Кафельный/мраморный пол', 'Услуга побудки/будильник', 'Мини-бар', 'Холодильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Вид на культурный объект', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы']",395. Жорж Отель Галата,,"Georges Hotel Galata, Istanbul, Turkiye",,
395,395,"Kamer Hantun Mah. Hamalbasi Cad.32, Стамбул 34435 Турция",Peradays,"5,0",905 отзывов,"4,8 из 5 кружков","4,7 из 5 кружков","4,8 из 5 кружков","4,8 из 5 кружков","4,9 из 5 кружков","3,0 из 5 звезд","['Современно', 'Очаровательный']","['Английский, Турецкий']","['Бесплатный WiFi', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Терраса на крыше', 'Хранение багажа', 'Круглосуточная работа стойки регистрации', 'Индивидуальная регистрация заезда/выезда', 'Услуги глажки', 'Wi-Fi', 'Меню для гостей, придерживающихся специальной диеты', 'Услуги такси', 'Консьерж', 'Отель для некурящих']","['Кондиционер', 'Письменный стол', 'Отдельный балкон', 'Сейф', 'Холодильник', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Зона отдыха', 'Телефон', 'Услуга побудки/будильник', 'Фен']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",396. Перадайс,,"Peradays, Istanbul, Turkiye",41.0350244,28.9761545
396,396,"Ertürk Sk. No: 1, Стамбул 34810 Турция",Park Inn By Radisson Istanbul Asia Kavacik,"4,5",335 отзывов,"4,1 из 5 кружков","4,4 из 5 кружков","4,3 из 5 кружков","4,6 из 5 кружков","4,4 из 5 кружков","4,0 из 5 звезд","['Современно', 'Необычный']","['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Раздевалки в фитнес- и спа-центрах', 'Бар/лаунж', 'Бесплатное размещение для детей', 'Подходит для детей / семьи', 'Бизнес-центр с Wi-Fi', 'Конференц-залы', 'Станции зарядки электромобилей', 'Услуга парковки автомобиля сотрудником отеля', 'Wi-Fi', 'Сауна', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Высокие детские стульчики', 'Спа-комплекс', 'Массаж для двоих', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Массаж', 'Массаж шеи', 'Парная', 'Хранение багажа', 'Отель для некурящих', 'Аптечка', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Очиститель воздуха', 'Кондиционер', 'Письменный стол', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'Кабельное или спутниковое ТВ', 'Душевая кабина без поддона на полу', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Холодильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",397. Асия Принцесс Отель,,"Park Inn By Radisson Istanbul Asia Kavacik, Istanbul, Turkiye",41.092339080850856,29.093862000725355
397,397,"Sinoplu Sehit Cemal Sokak, No: 9 Tesvikiye Mahallesi Valikonagi Caddesi, Стамбул 34365 Турция",Tzl Suites,"5,0",274 отзыва,"4,7 из 5 кружков","4,7 из 5 кружков","4,5 из 5 кружков","4,8 из 5 кружков","4,9 из 5 кружков","4,5 из 5 звезд","['Модный', 'Семейный']","['Английский, Французский, Арабский, Китайский и еще 2']","['Бесплатная парковка', 'Бесплатный WiFi', 'Сауна', 'Бесплатный завтрак', 'Детские ТВ-сети', 'Трансфер из/до аэропорта', 'Конференц-залы', 'Факс/копировальные услуги в бизнес-центре', 'Услуга парковки автомобиля сотрудником отеля', 'Wi-Fi', 'Бар/лаунж', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный приветственный чай', 'Счастливый час', 'Детское меню', 'Обеденная зона на открытом воздухе', 'Буфет', 'Вино/шампанское', 'Автобусный трансфер', 'Аренда автомобилей', 'Услуги такси', 'Спа-комплекс', 'Обертывание', 'Массаж для двоих', 'Косметические процедуры для лица', 'Ванна для ног', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Массаж', 'Массаж шеи', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Доступ к гостиной представительского класса', 'Газеты', 'Отель для некурящих', 'Уличная мебель', 'Общая зона для отдыха/просмотра ТВ', 'Швейцар', 'Аптечка', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Машина для сушки белья', 'Химчистка', 'Услуги прачечной', 'Прачечная с самообслуживанием', 'Стиральная машина', 'Услуги глажки', 'Чистка обуви']","['Гипоаллергенный номер', 'Шторы, блокирующие свет', 'Кондиционер', 'Дополнительная ванная комната', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Удлиненные кровати', 'Душевая кабина без поддона на полу', 'Звукоизоляция номеров', 'Очиститель воздуха', 'Купальные халаты', 'Письменный стол', 'Обеденная зона', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Отдельная обеденная зона', 'Отдельная гостиная', 'Диван', 'Телефон', 'VIP-номера', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Кафельный/мраморный пол', 'Услуга побудки/будильник', 'Мини-кухня', 'Посудомоечная машина', 'Мини-бар', 'Духовка', 'Холодильник', 'Кухонная плита', 'Электрический чайник', 'Кухонная утварь', 'ТВ с плоским экраном', 'Радио', 'Диван-кровать', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",398. Tzl Suites,,"Tzl Suites, Istanbul, Turkiye",,
398,398,"Hocapaşa Mah. İstasyon Arkası Sk. No:3 Sirkeci / Fatih, Стамбул 34110 Турция",Meg Hotel,"5,0",50 отзывов,"4,7 из 5 кружков","5,0 из 5 кружков","4,9 из 5 кружков","5,0 из 5 кружков","4,9 из 5 кружков",,['С видом на океан'],"['Русский, Английский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Возможен завтрак', 'Прокат велосипедов', 'Имеются велосипеды', 'Бесплатное размещение для детей', 'Трансфер из/до аэропорта', 'Терраса на крыше', 'Завтрак по типу ""шведский стол""', 'Бесплатный растворимый кофе', 'Бесплатный приветственный чай', 'Бесплатный приветственный напиток', 'Буфет с детским меню', 'Буфет', 'Вино/шампанское', 'Торговый автомат', 'Автобусный трансфер', 'Аренда автомобилей', 'Услуги такси', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Доступ к гостиной представительского класса', 'Отель для некурящих', 'Швейцар', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Купальные халаты', 'Кондиционер', 'Уборка номеров', 'Имеются номера с сообщающимися комнатами', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Удлиненные кровати', 'Биде', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Диван', 'Телефон', 'VIP-номера', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Утюг', 'Услуга побудки/будильник', 'Мини-бар', 'Электрический чайник', 'ТВ с плоским экраном', 'Радио', 'Диван-кровать', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на океан', 'С видом на город', 'Вид на культурный объект', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",399. Meg Hotel,,"Meg Hotel, Istanbul, Turkiye",41.0147702,28.979367
399,399,"Ibni Kemal Cad. No:14 D:16, Стамбул 34410 Турция",Hotel Sapphire,"4,5",2396 отзывов,"4,9 из 5 кружков","4,2 из 5 кружков","4,6 из 5 кружков","4,6 из 5 кружков","4,7 из 5 кружков","4,0 из 5 звезд",['Классический'],"['Русский, Английский, Немецкий, Турецкий']","['Бесплатный WiFi', 'Сауна', 'Бассейн', 'Ресторан', 'Трансфер из/до аэропорта', 'Хаммам', 'Круглосуточная охрана', 'Хранение багажа', 'Wi-Fi', 'Крытый бассейн', 'Завтрак по типу ""шведский стол""', 'Аренда автомобилей', 'Услуги такси', 'Консьерж', 'Отель для некурящих', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки', 'Чистка обуви']","['Кондиционер', 'Уборка номеров', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'ТВ с плоским экраном', 'Фен']","['Номера для некурящих', 'Семейные номера']",400. Отель Сапфире,,"Hotel Sapphire, Istanbul, Turkiye",41.0129563,28.9772993
400,400,"Şifa Sok No: 31 Caferaga Mah., Стамбул 34710 Турция",Juliet Rooms & Kitchen,"4,5",183 отзыва,"4,5 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","4,8 из 5 кружков","4,7 из 5 кружков","3,0 из 5 звезд","['Романтический', 'Жилой район']","['Английский, Испанский, Итальянский, Турецкий']","['Бесплатная общественная парковка поблизости', 'Бесплатный WiFi', 'Ресторан', 'Прокат велосипедов', 'Трансфер из/до аэропорта', 'Хранение багажа', 'Обмен валюты', 'Круглосуточная работа стойки регистрации', 'Wi-Fi', 'Завтрак в номере', 'Газеты', 'Отель для некурящих', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Звукоизоляция номеров', 'Кондиционер', 'Уборка номеров', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'Холодильник']","['Номера для некурящих', 'Семейные номера']",401. Juliet Rooms & Kitchen,,"Juliet Rooms & Kitchen, Istanbul, Turkiye",40.9816695,29.0311489
401,401,"Divanyolu Cad. No:68, Стамбул 34122 Турция",Faros Hotel Old City,"4,5",877 отзывов,"4,9 из 5 кружков","4,2 из 5 кружков","4,3 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","4,0 из 5 звезд",['Вид на город'],"['Русский, Английский, Арабский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Катание на лодке', 'Детские ТВ-сети', 'Высокие детские стульчики', 'Трансфер из/до аэропорта', 'Услуги макияжа', 'Wi-Fi', 'Бар/лаунж', 'Кафетерий', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Бесплатный приветственный чай', 'Бесплатный приветственный напиток', 'Счастливый час', 'Буфет с детским меню', 'Детское меню', 'Обеденная зона на открытом воздухе', 'Вино/шампанское', 'Прогулочные коляски', 'Аренда автомобилей', 'Услуги такси', 'Круглосуточная охрана', 'Хранение багажа', 'Доступ к гостиной представительского класса', 'Газеты', 'Отель для некурящих', 'Общая зона для отдыха/просмотра ТВ', 'Аптечка', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Мини-бар', 'Кабельное или спутниковое ТВ', 'Удлиненные кровати', 'Душевая кабина без поддона на полу', 'Очиститель воздуха', 'Уборка номеров', 'Отдельный балкон', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Телефон', 'Шкаф для одежды/встроенный гардероб', 'Бутилированная вода', 'Напольная вешалка для одежды', 'Сейф для ноутбука', 'Индивидуальные ванные комнаты', 'Кафельный/мраморный пол', 'Услуга побудки/будильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Диван-кровать', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера']",402. Фарос Отель Султанахмет,,"Faros Hotel Old City, Istanbul, Turkiye",41.0084007,28.973775
402,402,"Hocapasa Mah. Ibnikemal Cad. No:9 Sirkeci, Fatih, Стамбул 34134 Турция",Hotel Evsen,"4,5",423 отзыва,"4,9 из 5 кружков","4,2 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","3,0 из 5 звезд",,"['Русский, Английский, Испанский, Немецкий и еще 2']","['Парковка', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Трансфер из/до аэропорта', 'Хранение багажа', 'Консьерж', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Wi-Fi', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Бесплатный приветственный напиток', 'Автобусный трансфер', 'Услуги такси', 'Отель для некурящих', 'Быстрая регистрация при заезде/выезде', 'Химчистка', 'Услуги прачечной']","['Звукоизоляция номеров', 'Кондиционер', 'Письменный стол', 'Сейф', 'Телефон', 'Мини-бар', 'ТВ с плоским экраном', 'Ванна/душ', 'Напольная вешалка для одежды', 'Услуга побудки/будильник', 'Бесплатные туалетные принадлежности', 'Фен']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",403. Отель Эвсен,,"Hotel Evsen, Istanbul, Turkiye",41.0128826,28.9771724
403,403,"Galata Şarap İskelesi Sok:6, Vakıf Han D:No: 10/1, Стамбул 34425 Турция",Hotel De Rêve Galata Special Class,"4,5",36 отзывов,"4,6 из 5 кружков","4,9 из 5 кружков","4,2 из 5 кружков","5,0 из 5 кружков","4,5 из 5 кружков","5,0 из 5 звезд",['Роскошный'],['Английский'],"['Бесплатный WiFi', 'Бар/лаунж', 'Ресторан', 'Трансфер из/до аэропорта', 'Индивидуальная регистрация заезда/выезда']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'Бутилированная вода', 'Ванна/душ']",['Номера для некурящих'],404. Hotel De Rêve Galata Special Class,,"Hotel De Rêve Galata Special Class, Istanbul, Turkiye",,
404,404,"Kayisdagi Caddesi No 3, Atasehir Atasehir, Стамбул 34750 Турция",Istanbul Marriott Hotel Asia,"4,0",758 отзывов,"3,3 из 5 кружков","4,5 из 5 кружков","4,1 из 5 кружков","4,7 из 5 кружков","4,5 из 5 кружков","5,0 из 5 звезд","['Роскошный', 'Вид на город']","['Английский, Немецкий, Турецкий']","['Парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бар/лаунж', 'Бесплатное размещение для детей', 'Аренда автомобилей', 'Бизнес-центр с Wi-Fi', 'Wi-Fi', 'Раздевалки в фитнес- и спа-центрах', 'Фитнес-залы', 'Персональный тренер', 'Сауна', 'Джакузи', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн с подогревом', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Завтрак в номере', 'Услуги такси', 'Помещения для проведения конференций', 'Банкетный зал', 'Конференц-залы', 'Спа-комплекс', 'Обертывание', 'Массаж для двоих', 'Косметические процедуры для лица', 'Массаж стоп', 'Массаж всего тела', 'Хаммам', 'Массаж рук', 'Массаж головы', 'Массаж', 'Массаж шеи', 'Салон красоты', 'Парная', 'Круглосуточная охрана', 'Хранение багажа', 'Консьерж', 'Обмен валюты', 'Газеты', 'Отель для некурящих', 'Терраса для солнечных ванн', 'Шезлонги/пляжные кресла', 'Терраса-солярий', 'Зонты от солнца', 'Банкомат на территории', 'Услуги дворецкого', 'Швейцар', 'Зонт', 'Заезд круглосуточно', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Шторы, блокирующие свет', 'Купальные халаты', 'Кондиционер', 'Письменный стол', 'Уборка номеров', 'Мини-бар', 'Кабельное или спутниковое ТВ', 'Ванна/душ', 'Имеются номера с сообщающимися комнатами', 'Обслуживание номеров', 'Сейф', 'Зона отдыха', 'Телефон', 'VIP-номера', 'Шкаф для одежды/встроенный гардероб', 'Напольная вешалка для одежды', 'Утюг', 'Сейф для ноутбука', 'Услуга побудки/будильник', 'Холодильник', 'Электрический чайник', 'ТВ с плоским экраном', 'Бесплатные туалетные принадлежности', 'Фен']","['С видом на город', 'Люкс для новобрачных', 'Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",405. Стамбул Марриотт Отель Асия,,"Istanbul Marriott Hotel Asia, Istanbul, Turkiye",40.97843836441795,29.119493865230574
405,405,"Maslak 1453, Tasyoncasi Street No: 20AA C15 Maslak District, Стамбул 34396 Турция",Somerset Maslak Istanbul,"4,5",143 отзыва,"4,4 из 5 кружков","4,6 из 5 кружков","4,4 из 5 кружков","4,5 из 5 кружков","4,5 из 5 кружков","5,0 из 5 звезд",,"['Английский, Турецкий']","['Бесплатная парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бассейн', 'Бесплатное размещение для детей', 'Услуги няни', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Охраняемая парковка', 'Wi-Fi', 'Открытый бассейн', 'Детские ТВ-сети', 'Детская игровая зона в помещении', 'Подходит для детей / семьи', 'Детский клуб', 'Спа-комплекс', 'Отель для некурящих', 'Химчистка', 'Услуги прачечной', 'Прачечная с самообслуживанием']","['Звукоизоляция номеров', 'Кондиционер', 'Обслуживание номеров', 'Сейф', 'Мини-кухня', 'Микроволновая печь', 'Холодильник', 'Бесплатные туалетные принадлежности']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",406. Somerset Maslak Istanbul,,"Somerset Maslak Istanbul, Istanbul, Turkiye",,
406,406,"Feridiye Cd. No:92 Kocatepe, Стамбул 34437 Турция",Retropera Hotel,"4,5",220 отзывов,"4,7 из 5 кружков","4,4 из 5 кружков","4,5 из 5 кружков","4,7 из 5 кружков","4,6 из 5 кружков","3,0 из 5 звезд","['Современно', 'Бутик-отель']","['Русский, Английский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Бесплатный завтрак', 'Детские ТВ-сети', 'Аренда автомобилей', 'Хранение багажа', 'Обмен валюты', 'Круглосуточная работа стойки регистрации', 'Wi-Fi', 'Завтрак по типу ""шведский стол""', 'Газеты', 'Отель для некурящих', 'Быстрая регистрация при заезде/выезде', 'Индивидуальная регистрация заезда/выезда', 'Услуги прачечной', 'Услуги глажки']","['Шторы, блокирующие свет', 'Звукоизоляция номеров', 'Кондиционер', 'Уборка номеров', 'Сейф', 'Кофеварка/чайник', 'Кабельное или спутниковое ТВ', 'Душевая кабина без поддона на полу', 'Бутилированная вода', 'Утюг', 'Холодильник', 'ТВ с плоским экраном', 'Ванна/душ', 'Бесплатные туалетные принадлежности', 'Фен']","['Номера для некурящих', 'Семейные номера']",407. Ретропера Отель,,"Retropera Hotel, Istanbul, Turkiye",41.03987020364097,28.982119502681552
407,407,"Siraselviler Caddesi No: 11 Taksim, Стамбул 34437 Турция",CVK Hotels Taksim,"4,0",523 отзыва,"4,7 из 5 кружков","4,0 из 5 кружков","3,9 из 5 кружков","4,4 из 5 кружков","4,0 из 5 кружков","4,0 из 5 звезд",,['Английский'],"['Парковка', 'Бесплатный WiFi', 'Фитнес-центр', 'Бар/лаунж', 'Питомцы разрешены', 'Трансфер из/до аэропорта', 'Бизнес-центр с Wi-Fi', 'Помещения для проведения конференций', 'Wi-Fi', 'Ресторан', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Услуги такси', 'Конференц-залы', 'Спа-комплекс', 'Терраса на крыше', 'Консьерж', 'Круглосуточная работа стойки регистрации', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'Холодильник', 'ТВ с плоским экраном']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера', 'Номера для курящих']",408. Квк Отели,,"CVK Hotels Taksim, Istanbul, Turkiye",41.034864,28.98815586200716
408,408,"Hobyar Mh. Ozhan Apt. No: 16 Mimar Vedat Sk., Стамбул 34112 Турция",Venue Hotel Istanbul Old City,"4,5",51 отзыв,"4,9 из 5 кружков","4,9 из 5 кружков","4,7 из 5 кружков","4,8 из 5 кружков","4,9 из 5 кружков","3,0 из 5 звезд",,"['Английский, Итальянский, Турецкий']","['Платная общественная парковка поблизости', 'Бесплатный WiFi', 'Подходит для детей / семьи', 'Трансфер из/до аэропорта', 'Хранение багажа', 'Консьерж', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Охраняемая парковка', 'Wi-Fi', 'Автобусный трансфер', 'Аренда автомобилей', 'Услуги такси', 'Обмен валюты', 'Отель для некурящих', 'Терраса-солярий', 'Индивидуальная регистрация заезда/выезда', 'Химчистка', 'Услуги прачечной', 'Услуги глажки']","['Звукоизоляция номеров', 'Кондиционер', 'Уборка номеров', 'Обслуживание номеров', 'Сейф', 'Бутилированная вода', 'Мини-бар', 'Холодильник']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",409. Venue Hotel Istanbul Old City,,"Venue Hotel Istanbul Old City, Istanbul, Turkiye",,
409,409,"Dizdariye Çeşme Sokak No:1 Binbirdirek Mahallesi, Стамбул 34400 Турция",Sultan House,"4,5",747 отзывов,"4,9 из 5 кружков","4,2 из 5 кружков","4,5 из 5 кружков","4,7 из 5 кружков","4,7 из 5 кружков","4,0 из 5 звезд","['С хорошим соотношением цены и качества', 'Исторический отель']","['Английский, Азербайджанский, Турецкий']","['Платная частная парковка поблизости', 'Бесплатный WiFi', 'Бар/лаунж', 'Трансфер из/до аэропорта', 'Круглосуточная охрана', 'Хранение багажа', 'Круглосуточная работа стойки регистрации', 'Быстрая регистрация при заезде/выезде', 'Парковка на улице', 'Wi-Fi', 'Кафетерий', 'Возможен завтрак', 'Завтрак по типу ""шведский стол""', 'Автобусный трансфер', 'Услуги глажки']","['Кондиционер', 'Обслуживание номеров', 'Сейф', 'Мини-бар', 'ТВ с плоским экраном']","['Номера для некурящих', 'Номера-люксы', 'Семейные номера']",410. Отель Султан Хаус,,"Sultan House, Istanbul, Turkiye",41.0099538,28.9759447
